population,Data Zone
"1,369",S01000420
819,S01000421
965,S01000422
"1,122",S01000423
697,S01000424
859,S01000425
831,S01000426
673,S01000427
664,S01000428
875,S01000429
514,S01000430
746,S01000431
845,S01000432
476,S01000433
587,S01000434
513,S01000435
624,S01000436
925,S01000437
617,S01000438
827,S01000439
"1,211",S01000440
892,S01000441
897,S01000442
600,S01000443
"2,622",S01000444
"1,159",S01000445
961,S01000446
795,S01000447
941,S01000448
742,S01000449
530,S01000450
873,S01000451
585,S01000452
603,S01000453
436,S01000454
897,S01000455
"1,228",S01000456
707,S01000457
858,S01000458
"1,040",S01000459
680,S01000460
898,S01000461
"1,049",S01000462
685,S01000463
804,S01000464
668,S01000465
823,S01000466
602,S01000467
530,S01000468
627,S01000469
"1,035",S01000470
859,S01000471
756,S01000472
701,S01000473
663,S01000474
689,S01000475
690,S01000476
643,S01000477
788,S01000478
850,S01000479
737,S01000480
"2,498",S01000481
906,S01000482
929,S01000483
779,S01000484
948,S01000485
"1,064",S01000486
668,S01000487
624,S01000488
928,S01000489
557,S01000490
539,S01000491
955,S01000492
685,S01000493
519,S01000494
855,S01000495
507,S01000496
710,S01000497
491,S01000498
920,S01000499
601,S01000500
561,S01000501
581,S01000502
579,S01000503
751,S01000504
749,S01000505
"1,065",S01000506
"1,032",S01000507
847,S01000508
956,S01000509
663,S01000510
609,S01000511
923,S01000512
882,S01000513
946,S01000514
631,S01000515
903,S01000516
750,S01000517
894,S01000518
588,S01000519
"1,069",S01000520
937,S01000521
649,S01000522
862,S01000523
666,S01000524
"1,010",S01000525
"1,076",S01000526
694,S01000527
848,S01000528
831,S01000529
506,S01000530
563,S01000531
902,S01000532
703,S01000533
784,S01000534
990,S01000535
485,S01000536
"1,191",S01000537
744,S01000538
967,S01000539
696,S01000540
601,S01000541
619,S01000542
805,S01000543
639,S01000544
764,S01000545
900,S01000546
546,S01000547
"1,120",S01000548
"1,215",S01000549
458,S01000550
895,S01000551
526,S01000552
855,S01000553
651,S01000554
834,S01000555
774,S01000556
905,S01000557
528,S01000558
686,S01000559
"1,021",S01000560
"1,087",S01000561
891,S01000562
"1,128",S01000563
945,S01000564
820,S01000565
880,S01000566
828,S01000567
515,S01000568
764,S01000569
874,S01000570
774,S01000571
701,S01000572
541,S01000573
736,S01000574
632,S01000575
535,S01000576
552,S01000577
655,S01000578
853,S01000579
955,S01000580
676,S01000581
628,S01000582
944,S01000583
859,S01000584
"1,253",S01000585
730,S01000586
692,S01000587
540,S01000588
698,S01000589
855,S01000590
828,S01000591
916,S01000592
"1,672",S01000593
"1,325",S01000594
715,S01000595
802,S01000596
950,S01000597
"1,372",S01000598
"1,138",S01000599
786,S01000600
"1,205",S01000601
728,S01000602
"1,040",S01000603
935,S01000604
834,S01000605
832,S01000606
730,S01000607
"1,197",S01000608
997,S01000609
819,S01000610
628,S01000611
"1,052",S01000612
"1,069",S01000613
667,S01000614
830,S01000615
"1,804",S01000616
580,S01000617
836,S01000618
663,S01000619
"1,104",S01000620
"1,092",S01000621
883,S01000622
759,S01000623
603,S01000624
608,S01000625
792,S01000626
828,S01000627
580,S01000628
974,S01000629
710,S01000630
653,S01000631
610,S01000632
548,S01000633
745,S01000634
607,S01000635
525,S01000636
648,S01000637
672,S01000638
574,S01000639
738,S01000640
814,S01000641
991,S01000642
651,S01000643
721,S01000644
974,S01000645
759,S01000646
760,S01000647
883,S01000648
579,S01000649
719,S01000650
843,S01000651
742,S01000652
"1,044",S01000653
899,S01000654
788,S01000655
880,S01000656
819,S01000657
587,S01000658
"1,340",S01000659
"1,060",S01000660
789,S01000661
747,S01000662
779,S01000663
860,S01000664
667,S01000665
497,S01000666
946,S01000667
873,S01000668
